startType,condition,N,pass_before,pass_after,delta_pass,gain_per_mic,relative_gain,median_after,p95_after
random,Random,4,9.59183673469388,43.0102040816327,33.4183673469388,8.35459183673471,4.48404255319149,29.0237532503568,8568.50735634471
csv,Pyramid,4,21.3265306122449,47.8571428571429,26.530612244898,6.6326530612245,2.24401913875598,18.9028635290252,316.694654780435
random,Random,6,29.7448979591837,47.7040816326531,17.9591836734694,2.99319727891157,1.60377358490566,19.5862113655423,329458.925188412
csv,Tetrahedron,4,18.6700767263427,25.5102040816327,6.84012735529,1.7100318388225,1.3663684651943,146.751518848879,223.654347767559
csv,Octahedron,6,28.1122448979592,35.3571428571429,7.2448979591837,1.20748299319728,1.25771324863884,91.1444470391346,201.69294152871
csv,Double tetrahedron,8,28.8265306122449,38.3673469387755,9.5408163265306,1.19260204081632,1.33097345132743,136.547822707602,204.503596173258
random,Random,8,34.6428571428571,43.5204081632653,8.8775510204082,1.10969387755102,1.25625920471281,36.7656878618948,30287.965542182
random,Random,10,34.2857142857143,45.1020408163265,10.8163265306122,1.08163265306122,1.31547619047619,51.4076310577003,79117.2148311782
csv,Pentagonal antiprism,10,32.1428571428571,42.5,10.3571428571429,1.03571428571429,1.32222222222222,140.492133877148,207.36916189186
csv,Icosahedron,12,30.5612244897959,39.234693877551,8.6734693877551,0.722789115646258,1.28380634390651,117.885145643651,202.804519881288
random,Random,12,38.5714285714286,41.4795918367347,2.9081632653061,0.242346938775508,1.07539682539682,73.0084541125698,63039.0152071856
