startType,condition,N,delta_pos,econ_pos,rank_pos,delta_ang,econ_ang,rank_ang
random,Random,4,52.6020408163265,13.1505102040816,1,26.1734693877551,6.54336734693878,1
csv,Pyramid,4,42.6020408163266,10.6505102040816,2,9.69387755102041,2.4234693877551,2
csv,Tetrahedron,4,29.4574351479722,7.36435878699305,3,8.9742418706613,2.24356046766533,3
csv,Octahedron,6,43.1122448979592,7.18537414965987,4,0,0,8
random,Random,6,32.9591836734694,5.49319727891157,5,3.82653061224489,0.637755102040816,4
csv,Double tetrahedron,8,10.5102040816327,1.31377551020409,6,0,0,6
random,Random,8,9.5918367346938,1.19897959183672,7,1.0204081632653,0.127551020408163,5
csv,Pentagonal antiprism,10,11.4795918367347,1.14795918367347,8,0,0,9
random,Random,10,7.5,0.75,9,0,0,10
csv,Icosahedron,12,8.67346938775511,0.722789115646259,10,0,0,7
random,Random,12,4.234693877551,0.352891156462583,11,0,0,11
