startType,condition,N,thr,pass_before,mean_before,median_before,iqr_before,p95_before,pass_after,mean_after,median_after,iqr_after,p95_after
csv,Pyramid,4,15,90.3061224489796,4.01530446649965,0.965018648079661,2.13587370580435,24.6105123512658,100,0.718029783412556,0.451357747503945,0.586451071914661,2.25771814740308
csv,Tetrahedron,4,15,82.0971867007673,13.3987649528774,1.46090996293197,5.23565992395013,75.7310953072447,91.0714285714286,6.89934131695165,0.643242417137844,1.39271958623048,52.472232208831
csv,Octahedron,6,15,100,1.91312216119319,1.21952129496624,1.79199037419545,6.7765939030959,100,0.97718134681523,0.88492133454563,0.77095122055945,2.31584751450488
csv,Double tetrahedron,8,15,100,0.761678801501236,0.687288154814762,0.622945637545613,1.76313463397752,100,0.629032268535637,0.553934861349907,0.510960587367244,1.36506881056435
csv,Pentagonal antiprism,10,15,100,1.04290299800954,0.720672328359731,0.794909532125225,3.2423171162358,100,0.592502851568465,0.473189716360068,0.451594929917185,1.47770350169845
csv,Icosahedron,12,15,100,0.656392684084086,0.573643102389934,0.536446390641707,1.42591774959784,100,0.552217422156279,0.463030464752078,0.378569023066782,1.2374926402701
random,Random,4,15,73.7755102040816,20.1991963332011,3.63198621893331,15.2253420768171,136.171091331665,99.9489795918367,0.979831736253104,0.676887768345452,1.1428679604436,2.68516006290319
random,Random,6,15,96.1734693877551,2.8950381326668,0.965546161353914,1.25208415580433,7.6692442328959,100,0.72748185313527,0.584487262665954,0.619562722413483,1.85496682481315
random,Random,8,15,98.9285714285714,1.05195227949534,0.582454513215698,0.622137564262841,1.85180826271452,99.9489795918367,0.598298510079469,0.489850740152296,0.467662342400862,1.34960106396012
random,Random,10,15,100,0.640034913739214,0.521607573429277,0.522791573588383,1.50812227264512,100,0.559186001517032,0.47175440223664,0.42854354018281,1.34735761597593
random,Random,12,15,100,0.543220059026522,0.436567641040071,0.450298874490235,1.3124243842583,100,0.481222684866302,0.394423229623211,0.373469442230357,1.15401586697366
